sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
m15,4500.0,1.0,1.0,86400.0,659.0,373.0,396.0,286.0,33744.2,7086.0,48107.3,22.2227,36.3,45212.9,2673.0,8.8,154.127
m16,4500.0,1.0,1.0,86400.0,655.0,414.0,435.0,241.0,28296.2,7865.0,48113.7,12.65,18.15,45250.7,2673.0,3.52,155.715
m7,4500.0,1.0,1.0,86400.0,655.0,449.0,462.0,206.0,37806.1,8530.0,48111.4,14.025,18.15,45248.0,2673.0,3.52,154.718
cc8,4500.0,1.0,1.0,86400.0,659.0,442.0,455.0,217.0,39779.8,8397.0,48115.6,14.2707,18.15,45245.3,2673.0,5.28,159.6
cc6,4500.0,1.0,1.0,86400.0,657.0,383.0,406.0,274.0,30685.3,7276.0,48100.1,35.2766,27.225,45195.0,2673.0,7.04,162.549
cc2,4500.0,1.0,1.0,86400.0,659.0,376.0,403.0,283.0,29857.3,7143.0,48116.5,12.6923,18.15,45248.4,2673.0,5.28,158.942
cc3,4500.0,1.0,1.0,86400.0,659.0,370.0,395.0,289.0,33111.1,7029.0,48100.6,32.2487,36.3,45192.8,2673.0,8.8,157.442
ec5,4500.0,1.0,1.0,86400.0,654.0,193.0,238.0,461.0,25111.4,3666.0,48110.5,11.55,9.075,45261.2,2673.0,1.76,153.963
ec6,4500.0,1.0,1.0,86400.0,652.0,423.0,442.0,229.0,34049.5,8036.0,48114.2,9.9,18.15,45256.2,2673.0,3.52,153.454
t1-1,4500.0,1.0,1.0,86400.0,659.0,399.0,420.0,260.0,33929.3,7580.0,48111.1,16.9235,27.225,45231.7,2673.0,7.04,155.168
t2-2,4500.0,1.0,1.0,86400.0,651.0,297.0,335.0,354.0,21415.8,5642.0,48109.3,12.65,18.15,45250.7,2673.0,3.52,151.283
t11-2,4500.0,1.0,1.0,86400.0,658.0,281.0,316.0,377.0,25681.7,5338.0,48092.2,35.1901,27.225,45195.2,2673.0,7.04,154.607
cc9,4500.0,1.0,1.0,86400.0,657.0,486.0,495.0,171.0,38824.9,9233.0,48118.3,9.9,18.15,45256.2,2673.0,3.52,157.579
ec4,4500.0,1.0,1.0,86400.0,655.0,276.0,306.0,379.0,31789.9,5243.0,48109.6,11.55,9.075,45261.2,2673.0,1.76,153.103
cc1,4500.0,1.0,1.0,86400.0,659.0,534.0,541.0,125.0,40712.0,10145.0,48107.0,24.4258,36.3,45208.4,2673.0,8.8,156.038
t3-2,4500.0,1.0,1.0,86400.0,659.0,360.0,383.0,299.0,33628.5,6839.0,48109.3,15.125,18.15,45243.6,2673.0,5.28,154.219
t2-3,4500.0,1.0,1.0,86400.0,656.0,275.0,314.0,381.0,17863.1,5224.0,48105.7,19.557,27.225,45226.4,2673.0,7.04,152.44
cc5,4500.0,1.0,1.0,86400.0,657.0,459.0,475.0,198.0,32446.2,8720.0,48114.5,11.275,18.15,45253.5,2673.0,3.52,155.114
ec3,4500.0,1.0,1.0,86400.0,658.0,287.0,322.0,371.0,26838.2,5452.0,48112.9,9.9,18.15,45256.2,2673.0,3.52,152.089
m17,4500.0,1.0,1.0,86400.0,653.0,199.0,250.0,454.0,16832.5,3780.0,48106.2,9.9,18.15,45256.2,2673.0,3.52,145.45
t11-3,4500.0,1.0,1.0,86400.0,658.0,201.0,253.0,457.0,14372.1,3818.0,48085.4,31.6331,36.3,45194.0,2673.0,8.8,141.587
t11-1,4500.0,1.0,1.0,86400.0,658.0,361.0,392.0,297.0,25223.8,6858.0,48102.8,22.55,27.225,45220.5,2673.0,7.04,152.485
ec8,1000.0,2.0,0.0,86400.0,648.0,382.0,409.0,266.0,7941.82,7257.0,48079.9,35.5298,27.225000000000005,45194.5,2673.0,7.04,142.568
m2,1000.0,2.0,0.0,86400.0,658.0,132.0,197.0,526.0,4714.08,2507.0,48094.6,9.81047,27.225000000000005,45245.9,2673.0,7.04,131.577
m3,1000.0,2.0,0.0,86400.0,658.0,84.0,155.0,574.0,2835.41,1595.0,48092.80000000001,11.275,18.15,45253.5,2673.0,3.52,133.445
ec8,1500.0,1.0,0.0,86400.0,656.0,457.0,471.0,199.0,32521.7,8682.0,48094.80000000001,35.4483,27.225000000000005,45194.69999999999,2673.0,7.04,157.434
t2-4,1500.0,1.0,0.0,86400.0,660.0,427.0,446.0,233.0,37227.6,8112.0,48110.80000000001,16.5331,18.15,45240.69999999999,2673.0,5.28,157.064
t3-1,1500.0,1.0,0.0,86400.0,656.0,372.0,399.0,284.0,26988.7,7067.0,48112.1,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,155.584
t4,1500.0,1.0,0.0,86400.0,654.0,491.0,502.0,163.0,34048.1,9328.0,48115.9,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,159.331
t5-2,1500.0,1.0,0.0,86400.0,656.0,370.0,395.0,286.0,30862.599999999995,7029.0,48112.19999999999,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,155.62
t7-2,1500.0,1.0,0.0,86400.0,652.0,198.0,237.0,454.0,29507.099999999995,3761.0,48099.69999999999,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,143.134
t8-2,1500.0,1.0,0.0,86400.0,658.0,333.0,369.0,325.0,22646.400000000005,6326.0,48088.69999999999,32.942,36.3,45191.4,2673.0,8.8,146.288
t9,1500.0,1.0,0.0,86400.0,657.0,477.0,492.0,180.0,32054.7,9062.0,48096.80000000001,32.5506,36.3,45192.19999999999,2673.0,8.8,153.991
t10,1500.0,1.0,0.0,86400.0,659.0,115.0,171.0,544.0,17378.2,2184.0,48091.69999999999,23.738,18.15,45226.30000000001,2673.0,5.28,145.17
t11-5,1500.0,1.0,0.0,86400.0,657.0,273.0,317.0,384.0,19026.1,5186.0,48106.5,9.9,18.15,45256.19999999999,2673.0,3.52,145.764
t12-2,1500.0,1.0,0.0,86400.0,655.0,291.0,327.0,364.0,22640.099999999995,5528.0,48102.19999999999,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,145.633
t15,1500.0,1.0,0.0,86400.0,650.0,566.0,569.0,84.0,31224.5,10753.0,48113.69999999999,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,157.132
t16,1500.0,1.0,0.0,86400.0,656.0,352.0,381.0,304.0,24133.5,6687.0,48090.19999999999,35.4199,27.225000000000005,45194.69999999999,2673.0,7.04,152.759
m2,1500.0,1.0,0.0,86400.0,653.0,321.0,353.0,332.0,26357.400000000005,6098.0,48108.19999999999,9.9,18.15,45256.19999999999,2673.0,3.52,147.387
m3,1500.0,1.0,0.0,86400.0,652.0,373.0,403.0,279.0,24719.599999999995,7086.0,48112.4,11.275,18.15,45253.5,2673.0,3.52,153.054
m5,1500.0,1.0,0.0,86400.0,652.0,360.0,386.0,292.0,31491.599999999995,6839.0,48118.0,9.9,18.15,45256.19999999999,2673.0,3.52,157.241
m6,1500.0,1.0,0.0,86400.0,657.0,505.0,513.0,152.0,37009.9,9594.0,48100.9,32.4207,36.3,45192.5,2673.0,8.8,157.882
m8,1500.0,1.0,0.0,86400.0,658.0,248.0,291.0,410.0,19299.5,4711.0,48099.0,14.742200000000002,27.225000000000005,45236.1,2673.0,7.04,140.888
m11,1500.0,1.0,0.0,86400.0,655.0,307.0,344.0,348.0,21238.0,5832.0,48107.5,11.275,18.15,45253.5,2673.0,3.52,148.127
m15,1500.0,1.0,0.0,86400.0,653.0,486.0,500.0,167.0,30269.8,9233.0,48119.9,9.9,18.15,45256.19999999999,2673.0,3.52,159.112
m16,1500.0,1.0,0.0,86400.0,656.0,362.0,395.0,294.0,19230.9,6877.0,48105.0,23.2779,36.3,45210.69999999999,2673.0,8.8,152.908
m7,1500.0,1.0,0.0,86400.0,656.0,312.0,351.0,344.0,16755.1,5927.0,48107.9,11.275,18.15,45253.5,2673.0,3.52,148.526
cc8,1500.0,1.0,0.0,86400.0,657.0,428.0,449.0,229.0,29477.7,8131.0,48103.6,23.7741,27.225000000000005,45218.0,2673.0,7.04,154.527
cc7,1500.0,1.0,0.0,86400.0,656.0,452.0,473.0,204.0,26163.5,8587.0,48095.69999999999,32.6262,36.3,45192.0,2673.0,8.8,152.948
cc6,1500.0,1.0,0.0,86400.0,654.0,337.0,366.0,317.0,26184.7,6402.0,48105.69999999999,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,149.144
cc2,1500.0,1.0,0.0,86400.0,656.0,303.0,337.0,353.0,24548.7,5756.0,48099.1,11.550000000000002,9.075,45261.19999999999,2673.0,1.76,142.556
t2-2,1500.0,1.0,0.0,86400.0,659.0,455.0,469.0,204.0,36649.9,8644.0,48115.9,12.851999999999999,18.15,45248.1,2673.0,5.28,158.516
cc1,1500.0,1.0,0.0,86400.0,656.0,295.0,339.0,361.0,12929.1,5604.0,48083.80000000001,32.5406,36.3,45192.19999999999,2673.0,8.8,140.892
t3-2,1500.0,1.0,0.0,86400.0,657.0,474.0,492.0,183.0,29429.900000000005,9005.0,48110.6,21.974499999999995,36.3,45213.4,2673.0,8.8,157.19
t2-3,1500.0,1.0,0.0,86400.0,658.0,502.0,513.0,156.0,37041.5,9537.0,48103.1,29.913699999999995,36.3,45197.5,2673.0,8.8,157.594
cc5,1500.0,1.0,0.0,86400.0,653.0,437.0,459.0,216.0,27019.0,8302.0,48110.9,9.9,18.15,45256.19999999999,2673.0,3.52,150.106
t11-3,1500.0,1.0,0.0,86400.0,654.0,356.0,389.0,298.0,21467.8,6763.0,48110.6,9.9,18.15,45256.19999999999,2673.0,3.52,149.875
t12-1,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
m1,500.0,0.0,1.0,86400.0,646.0,615.0,617.0,31.0,14980.799999999997,11684.0,48099.5,27.533200000000004,27.225000000000005,45210.5,2673.0,7.04,154.241
m18,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
cc11,500.0,0.0,1.0,86400.0,653.0,539.0,547.0,114.0,27522.599999999995,10240.0,48096.0,31.255800000000004,27.225000000000005,45203.0,2673.0,7.04,154.414
ec8,500.0,0.0,1.0,86400.0,660.0,481.0,494.0,179.0,41024.3,9138.0,48106.19999999999,23.242,27.225000000000005,45219.1,2673.0,7.04,156.663
t1-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t2-4,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t3-1,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t4,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t5-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t6,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t7-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t8-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t9,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t10,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t11-5,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t12-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t12-5,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t13-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t13-3,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t13-4,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t14-2,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t15,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t16,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t17,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
t18,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225000000000005,45194.5,2673.0,7.04,154.114
