gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,sensor_latitude,sensor_longitude,sensor_altitude
5,m1,500.0,0,1,41.090138888888895,27.469055555555553,118.0
6,m18,500.0,0,1,41.040416666666665,26.35594444444445,12.0
7,cc11,500.0,0,1,41.16366666666666,27.49325,87.0
0,ec8,500.0,0,1,41.195166666666665,27.476888888888887,67.0
8,t1-2,500.0,0,1,41.26191666666666,27.548111111111112,83.0
9,t2-4,500.0,0,1,41.29413888888889,27.467555555555553,57.0
10,t3-1,500.0,0,1,41.34280555555557,27.456888888888887,57.0
11,t4,500.0,0,1,41.35752777777777,27.38741666666667,41.0
12,t5-2,500.0,0,1,41.35172222222222,27.319861111111113,44.0
13,t6,500.0,0,1,41.34030555555556,27.26763888888889,44.0
14,t7-2,500.0,0,1,41.36988888888889,27.176,42.0
15,t8-2,500.0,0,1,41.35241666666667,27.160305555555553,22.0
16,t9,500.0,0,1,41.36775,27.14011111111111,42.0
17,t10,500.0,0,1,41.350472222222216,27.10927777777778,41.0
18,t11-5,500.0,0,1,41.34094444444445,27.082305555555557,39.0
19,t12-2,500.0,0,1,41.0781388888889,27.076527777777766,31.0
20,t12-5,500.0,0,1,41.36469444444445,27.061805555555555,38.0
21,t13-2,500.0,0,1,41.4065,26.92894444444445,37.0
22,t13-3,500.0,0,1,41.38247222222222,26.91186111111111,34.0
23,t13-4,500.0,0,1,41.34858333333335,26.886416666666666,22.0
24,t14-2,500.0,0,1,41.30858333333333,26.789777777777786,18.0
25,t15,500.0,0,1,41.27519444444445,26.68183333333333,12.0
26,t16,500.0,0,1,41.250638888888886,26.64494444444445,12.0
27,t17,500.0,0,1,41.20663888888889,26.607944444444453,11.0
28,t18,500.0,0,1,41.085861111111114,26.547277777777786,21.0
0,m2,500.0,0,1,41.19519444444444,27.46575,70.0
2,m3,500.0,0,1,41.2031388888889,27.47697222222222,68.0
29,m4,500.0,0,1,41.25444444444445,27.45308333333333,56.0
30,m5,500.0,0,1,41.30519444444444,27.444777777777766,64.0
31,m6,500.0,0,1,41.348638888888885,27.39319444444445,49.0
32,m8,500.0,0,1,41.363444444444454,27.326777777777767,43.0
33,m9,500.0,0,1,41.34791666666667,27.287861111111113,45.0
34,m10,500.0,0,1,41.36130555555556,27.22475,33.0
35,m11,500.0,0,1,41.3535,27.080111111111112,46.0
36,m12,500.0,0,1,41.34236111111111,27.038888888888888,32.0
37,m13,500.0,0,1,41.336083333333335,26.922472222222233,28.0
38,m14,500.0,0,1,41.324333333333335,26.82922222222221,18.0
39,m15,500.0,0,1,41.28483333333333,26.698777777777767,24.0
40,m16,500.0,0,1,41.246833333333335,26.6185,18.0
41,t13-1,500.0,0,1,41.785916666666665,27.129277777777766,244.0
42,cc10,500.0,0,1,41.14247222222223,27.599138888888888,89.0
43,ec1,500.0,0,1,41.34663888888889,27.83152777777777,111.0
44,t8-1,500.0,0,1,41.060138888888886,27.338777777777768,111.0
45,t14-1,500.0,0,1,41.27666666666666,27.01933333333333,100.0
46,m7,500.0,0,1,41.352,27.35163888888889,48.0
