gw_key,distance_threshold,outlier_threshold,remove_intersections,gw_latitude,gw_longitude,gw_altitude
19,2000.0,0,1,61.27355583333333,22.355416138888888,0.0
0,2000.0,1,1,61.489423620376776,23.741350348021946,0.0
6,2000.0,1,1,61.47195893359653,23.560929998047232,0.0
12,2000.0,1,1,61.20547143978649,22.663107849958447,0.0
0,2000.0,2,1,61.489423620376776,23.741350348021946,0.0
0,2000.0,3,1,61.489423620376776,23.741350348021946,0.0
0,2500.0,0,0,61.489423477809794,23.741347707845282,0.0
6,2500.0,0,0,61.473642777777776,23.597026805555554,0.0
8,2500.0,0,0,61.46289660636964,23.48258158187086,0.0
16,2500.0,0,0,61.476639722222224,23.33223580555555,0.0
17,2500.0,0,0,61.40298666666666,23.07322130555556,0.0
18,2500.0,0,0,61.34970305555557,22.967151277777766,0.0
19,2500.0,0,0,61.32881833333334,22.84736944444445,0.0
20,2500.0,0,0,61.26642444444445,22.696800444444445,0.0
14,2500.0,0,0,61.20546986476369,22.663101867122737,0.0
21,2500.0,0,0,61.27355583333333,22.355416138888888,0.0
0,2500.0,1,0,61.489423477809794,23.741347707845282,0.0
8,2500.0,1,0,61.46289660636964,23.48258158187086,0.0
14,2500.0,1,0,61.20546986476369,22.663101867122737,0.0
0,2500.0,2,0,61.489423477809794,23.741347707845282,0.0
8,2500.0,2,0,61.46289660636964,23.48258158187086,0.0
0,2500.0,3,0,61.489423477809794,23.741347707845282,0.0
0,2500.0,0,1,61.489423477809794,23.741347707845282,0.0
6,2500.0,0,1,61.473642777777776,23.597026805555554,0.0
8,2500.0,0,1,61.46289660636964,23.48258158187086,0.0
16,2500.0,0,1,61.476639722222224,23.33223580555555,0.0
17,2500.0,0,1,61.40298666666666,23.07322130555556,0.0
18,2500.0,0,1,61.34970305555557,22.967151277777766,0.0
19,2500.0,0,1,61.32881833333334,22.84736944444445,0.0
20,2500.0,0,1,61.26642444444445,22.696800444444445,0.0
14,2500.0,0,1,61.20546986476369,22.663101867122737,0.0
21,2500.0,0,1,61.27355583333333,22.355416138888888,0.0
0,2500.0,1,1,61.489423477809794,23.741347707845282,0.0
8,2500.0,1,1,61.46289660636964,23.48258158187086,0.0
14,2500.0,1,1,61.20546986476369,22.663101867122737,0.0
0,2500.0,2,1,61.489423477809794,23.741347707845282,0.0
8,2500.0,2,1,61.46289660636964,23.48258158187086,0.0
0,2500.0,3,1,61.489423477809794,23.741347707845282,0.0
0,3000.0,0,0,61.48942330356118,23.741344480961214,0.0
6,3000.0,0,0,61.473642777777776,23.597026805555554,0.0
8,3000.0,0,0,61.46249349752586,23.48278196269567,0.0
14,3000.0,0,0,61.476639722222224,23.33223580555555,0.0
18,3000.0,0,0,61.40298666666666,23.07322130555556,0.0
19,3000.0,0,0,61.34970305555557,22.967151277777766,0.0
20,3000.0,0,0,61.32881833333334,22.84736944444445,0.0
21,3000.0,0,0,61.26642444444445,22.696800444444445,0.0
16,3000.0,0,0,61.205467939735506,22.66309455476813,0.0
22,3000.0,0,0,61.27355583333333,22.355416138888888,0.0
0,3000.0,1,0,61.48942330356118,23.741344480961214,0.0
8,3000.0,1,0,61.46249349752586,23.48278196269567,0.0
16,3000.0,1,0,61.205467939735506,22.66309455476813,0.0
0,3000.0,2,0,61.48942330356118,23.741344480961214,0.0
8,3000.0,2,0,61.46249349752586,23.48278196269567,0.0
0,3000.0,3,0,61.48942330356118,23.741344480961214,0.0
0,3000.0,0,1,61.48942330356118,23.741344480961214,0.0
6,3000.0,0,1,61.473642777777776,23.597026805555554,0.0
8,3000.0,0,1,61.46249349752586,23.48278196269567,0.0
14,3000.0,0,1,61.476639722222224,23.33223580555555,0.0
18,3000.0,0,1,61.40298666666666,23.07322130555556,0.0
19,3000.0,0,1,61.34970305555557,22.967151277777766,0.0
20,3000.0,0,1,61.32881833333334,22.84736944444445,0.0
21,3000.0,0,1,61.26642444444445,22.696800444444445,0.0
16,3000.0,0,1,61.205467939735506,22.66309455476813,0.0
22,3000.0,0,1,61.27355583333333,22.355416138888888,0.0
0,3000.0,1,1,61.48942330356118,23.741344480961214,0.0
8,3000.0,1,1,61.46249349752586,23.48278196269567,0.0
16,3000.0,1,1,61.205467939735506,22.66309455476813,0.0
0,3000.0,2,1,61.48942330356118,23.741344480961214,0.0
8,3000.0,2,1,61.46249349752586,23.48278196269567,0.0
0,3000.0,3,1,61.48942330356118,23.741344480961214,0.0
0,3500.0,0,0,61.48942309763086,23.74134066736891,0.0
6,3500.0,0,0,61.473642777777776,23.597026805555554,0.0
12,3500.0,0,0,61.45632053077353,23.50514958506152,0.0
16,3500.0,0,0,61.4632775,23.437638638888888,0.0
22,3500.0,0,0,61.476639722222224,23.33223580555555,0.0
30,3500.0,0,0,61.40298666666666,23.07322130555556,0.0
24,3500.0,0,0,61.33927376006757,22.907239153152524,0.0
26,3500.0,0,0,61.2398065509135,22.68728319345827,0.0
28,3500.0,0,0,61.1977488888889,22.64844913888889,0.0
31,3500.0,0,0,61.27355583333333,22.355416138888888,0.0
0,3500.0,1,0,61.48942309763086,23.74134066736891,0.0
12,3500.0,1,0,61.45632053077353,23.50514958506152,0.0
24,3500.0,1,0,61.33927376006757,22.907239153152524,0.0
26,3500.0,1,0,61.2398065509135,22.68728319345827,0.0
0,3500.0,2,0,61.48942309763086,23.74134066736891,0.0
0,3500.0,3,0,61.48942309763086,23.74134066736891,0.0
0,3500.0,0,1,61.48942309763086,23.74134066736891,0.0
6,3500.0,0,1,61.473642777777776,23.597026805555554,0.0
12,3500.0,0,1,61.45632053077353,23.50514958506152,0.0
16,3500.0,0,1,61.4632775,23.437638638888888,0.0
