gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
18,t16,8000.0,1,1,0.0,41.250638888888886,26.64494444444445,12.0
21,ec1,8000.0,1,1,0.0,41.34663888888889,27.83152777777777,111.0
66,cc7,8000.0,1,1,0.0,41.18147222222222,27.813305555555555,136.0
35,m17,8000.0,1,1,0.0,41.129583333333336,26.48005555555555,19.0
21,cc2,8000.0,1,1,0.0,41.293416666666666,27.944222222222226,154.0
12,t11-1,8000.0,1,1,0.0,40.94847222222222,26.931,102.0
78,t13-3,8000.0,1,1,0.0,41.38247222222222,26.91186111111111,34.0
78,m14,8000.0,1,1,0.0,41.324333333333335,26.82922222222221,18.0
21,cc3,8000.0,1,1,0.0,41.23858333333333,27.869722222222233,130.0
66,ec2,8000.0,1,1,0.0,41.13002777777777,27.772972222222233,95.0
18,m15,8000.0,1,1,0.0,41.28483333333333,26.698777777777767,24.0
35,t18,8000.0,1,1,0.0,41.085861111111114,26.547277777777786,21.0
78,t13-2,8000.0,1,1,0.0,41.4065,26.92894444444445,37.0
4,cc11,8000.0,1,1,0.0,41.16366666666666,27.49325,87.0
78,t13-4,8000.0,1,1,0.0,41.34858333333335,26.886416666666666,22.0
78,t14-2,8000.0,1,1,0.0,41.30858333333333,26.789777777777786,18.0
10,m8,8000.0,1,1,0.0,41.363444444444454,27.326777777777767,43.0
4,cc10,8000.0,1,1,0.0,41.14247222222223,27.599138888888888,89.0
4,ec7,8000.0,1,1,0.0,41.21675000000001,27.52633333333333,76.0
4,m1,8000.0,2,1,0.0,41.090138888888895,27.469055555555553,118.0
21,ec1,8000.0,2,1,0.0,41.34663888888889,27.83152777777777,111.0
35,m17,8000.0,2,1,0.0,41.129583333333336,26.48005555555555,19.0
21,cc2,8000.0,2,1,0.0,41.293416666666666,27.944222222222226,154.0
78,t13-3,8000.0,2,1,0.0,41.38247222222222,26.91186111111111,34.0
78,m14,8000.0,2,1,0.0,41.324333333333335,26.82922222222221,18.0
35,t17,8000.0,2,1,0.0,41.20663888888889,26.607944444444453,11.0
21,cc3,8000.0,2,1,0.0,41.23858333333333,27.869722222222233,130.0
35,t18,8000.0,2,1,0.0,41.085861111111114,26.547277777777786,21.0
78,t13-2,8000.0,2,1,0.0,41.4065,26.92894444444445,37.0
4,cc11,8000.0,2,1,0.0,41.16366666666666,27.49325,87.0
