sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
ec7,8500.0,0.0,1.0,0.001,86400.0,656.0,274.0,313.0,382.0,18097.2,5205.0,48099.6,17.1886,27.225,45231.2,2673.0,7.04,143.926
t2-2,8500.0,0.0,1.0,0.001,86400.0,648.0,520.0,530.0,128.0,28288.0,9879.0,48113.6,12.65,18.15,45250.7,2673.0,3.52,155.545
cc1,8500.0,0.0,1.0,0.001,86400.0,655.0,504.0,518.0,151.0,27953.8,9575.0,48094.5,32.235,36.3,45192.8,2673.0,8.8,151.384
t7-1,8500.0,0.0,1.0,0.001,86400.0,653.0,477.0,491.0,176.0,34673.3,9062.0,48117.1,11.275,18.15,45253.5,2673.0,3.52,157.705
ec2,8500.0,0.0,1.0,0.001,86400.0,652.0,622.0,622.0,30.0,28721.6,11817.0,48097.5,35.6092,27.225,45194.3,2673.0,7.04,160.272
t1-2,9000.0,1.0,0.0,0.47,86400.0,652.0,113.0,174.0,539.0,7450.03,2146.0,48091.4,11.55,9.075,45261.2,2673.0,1.76,134.891
t3-1,9000.0,1.0,0.0,0.47,86400.0,652.0,228.0,275.0,424.0,16542.3,4331.0,48101.0,9.9,18.15,45256.2,2673.0,3.52,140.25
t4,9000.0,1.0,0.0,0.47,86400.0,657.0,304.0,343.0,353.0,19572.6,5775.0,48105.3,11.275,18.15,45253.5,2673.0,3.52,145.888
t3-2,9000.0,1.0,0.0,0.47,86400.0,655.0,393.0,422.0,262.0,18869.0,7466.0,48091.6,32.0921,36.3,45193.1,2673.0,8.8,148.255
t1-2,5500.0,3.0,0.0,0.001,86400.0,655.0,232.0,277.0,423.0,11194.2,4407.0,48086.4,35.4087,27.225,45194.7,2673.0,7.04,148.993
cc8,5500.0,3.0,0.0,0.001,86400.0,651.0,155.0,210.0,496.0,10634.0,2944.0,48101.2,11.55,9.075,45261.2,2673.0,1.76,144.673
cc7,5500.0,3.0,0.0,0.001,86400.0,654.0,343.0,376.0,311.0,23184.1,6516.0,48111.1,9.9,18.15,45256.2,2673.0,3.52,150.351
cc6,5500.0,3.0,0.0,0.001,86400.0,647.0,400.0,426.0,247.0,14471.6,7599.0,48105.9,11.275,18.15,45253.5,2673.0,3.52,146.462
